"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"236","muhasebe","admin/muhasebe/tanimlar/logo-turleri/create","filament.admin.muhasebe.resources.tanimlar.logo-turleri.create","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\MuhasebeLogoTuruTanimKaynagi\Pages\CreateMuhasebeLogoTuru","200","338,36","333,32","343,39","333,32|343,39","144943","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/logo-turleri/create",
"237","muhasebe","admin/muhasebe/is-analitigi","filament.admin.muhasebe.pages.is-analitigi","App\Filament\Clusters\Muhasebe\Pages\IsAnalitigiSayfasi","200","337,44","327,99","346,89","327,99|346,89","113710","http://localhost/yalova-kamera/admin/muhasebe/is-analitigi",
"238","web","admin/web/web-ayarlar/web-genel-ayarlar","filament.admin.web.pages.web-ayarlar.web-genel-ayarlar","App\Filament\Clusters\Web\Pages\WebGenelAyarlar","200","335,77","331,29","340,24","331,29|340,24","133439","http://localhost/yalova-kamera/admin/web/web-ayarlar/web-genel-ayarlar",
"239","teknik-servis","admin/teknik-servis/tanimlar/aksesuarlar/create","filament.admin.teknik-servis.resources.tanimlar.aksesuarlar.create","App\Filament\Clusters\TeknikServis\Resources\TeknikServisAksesuarKaynagi\Pages\CreateTeknikServisAksesuar","200","335,52","334,18","336,85","336,85|334,18","140827","http://localhost/yalova-kamera/admin/teknik-servis/tanimlar/aksesuarlar/create",
"240","teknik-servis","admin/teknik-servis/tanimlar/markalar/create","filament.admin.teknik-servis.resources.tanimlar.markalar.create","App\Filament\Clusters\TeknikServis\Resources\TeknikServisMarkaKaynagi\Pages\CreateTeknikServisMarkasi","200","334,89","323,71","346,08","346,08|323,71","140793","http://localhost/yalova-kamera/admin/teknik-servis/tanimlar/markalar/create",
"241","sistem-moduller","admin/sistem-moduller/create","filament.admin.resources.sistem-moduller.create","App\Filament\Resources\ModulYonetimKaynagi\Pages\ModulOlustur","200","334,82","327,95","341,68","327,95|341,68","135610","http://localhost/yalova-kamera/admin/sistem-moduller/create",
"242","teknik-servis","admin/teknik-servis/tanimlar/cihazlar/create","filament.admin.teknik-servis.resources.tanimlar.cihazlar.create","App\Filament\Clusters\TeknikServis\Resources\TeknikServisCihazKaynagi\Pages\CreateTeknikServisCihazi","200","334,58","328,65","340,52","340,52|328,65","140792","http://localhost/yalova-kamera/admin/teknik-servis/tanimlar/cihazlar/create",
"243","sistem-roller","admin/sistem-roller/create","filament.admin.resources.sistem-roller.create","App\Filament\Resources\RoleResource\Pages\CreateRole","200","334,21","330,91","337,5","337,5|330,91","137605","http://localhost/yalova-kamera/admin/sistem-roller/create",
"244","muhasebe","admin/muhasebe/tanimlar/stok-kategorileri","filament.admin.muhasebe.pages.tanimlar.stok-kategorileri","App\Filament\Clusters\Muhasebe\Pages\StokKategoriTanimlariSayfasi","200","333,56","320,5","346,61","320,5|346,61","112210","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/stok-kategorileri",
"245","muhasebe","admin/muhasebe/satis/barkodlu-satis-fisi","filament.admin.muhasebe.pages.satis.barkodlu-satis-fisi","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisFisiSayfasi","200","333,2","329,26","337,14","337,14|329,26","116872","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis-fisi",
"246","sistem-kullanicilar","admin/sistem-kullanicilar/create","filament.admin.resources.sistem-kullanicilar.create","App\Filament\Resources\UserResource\Pages\CreateUser","200","332,19","325,57","338,82","338,82|325,57","140855","http://localhost/yalova-kamera/admin/sistem-kullanicilar/create",
"247","muhasebe","admin/muhasebe/satis/barkodlu-satis-iade-fisi","filament.admin.muhasebe.pages.satis.barkodlu-satis-iade-fisi","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisIadeFisiSayfasi","200","327,51","327,45","327,57","327,57|327,45","112444","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis-iade-fisi",
"248","teknik-servis","admin/teknik-servis/ayarlar/ariza-ekleme","filament.admin.teknik-servis.pages.ayarlar.ariza-ekleme","App\Filament\Clusters\TeknikServis\Pages\ArizaEkleme","200","326,16","325,38","326,94","326,94|325,38","111985","http://localhost/yalova-kamera/admin/teknik-servis/ayarlar/ariza-ekleme",
"249","muhasebe","admin/muhasebe/finans/cek","filament.admin.muhasebe.pages.finans.cek","App\Filament\Clusters\Muhasebe\Pages\CekYonetimiSayfasi","200","324,43","321,71","327,15","321,71|327,15","112085","http://localhost/yalova-kamera/admin/muhasebe/finans/cek",
"250","teknik-servis","admin/teknik-servis/ayarlar/kabul-fisi","filament.admin.teknik-servis.pages.ayarlar.kabul-fisi","App\Filament\Clusters\TeknikServis\Pages\KabulFisi","200","324,3","318,87","329,73","329,73|318,87","118076","http://localhost/yalova-kamera/admin/teknik-servis/ayarlar/kabul-fisi",
"251","muhasebe","admin/muhasebe/raporlar/kar-zarar","filament.admin.muhasebe.pages.raporlar.kar-zarar","App\Filament\Clusters\Muhasebe\Pages\KarZararRaporuTaslakSayfasi","200","324,12","316,43","331,81","316,43|331,81","112156","http://localhost/yalova-kamera/admin/muhasebe/raporlar/kar-zarar",
"252","firma-kullanici-gruplari","admin/firma-kullanici-gruplari/create","filament.admin.resources.firma-kullanici-gruplari.create","App\Filament\Resources\FirmaKullaniciGrubuKaynagi\Pages\CreateFirmaKullaniciGrubu","200","322,72","321,34","324,11","321,34|324,11","131349","http://localhost/yalova-kamera/admin/firma-kullanici-gruplari/create",
"253","teknik-servis","admin/teknik-servis/ayarlar/aksesuar-ekleme","filament.admin.teknik-servis.pages.ayarlar.aksesuar-ekleme","App\Filament\Clusters\TeknikServis\Pages\AksesuarEkleme","200","321,79","316,29","327,29","316,29|327,29","112006","http://localhost/yalova-kamera/admin/teknik-servis/ayarlar/aksesuar-ekleme",
"254","teknik-servis","admin/teknik-servis/ayarlar/genel-ayarlar","filament.admin.teknik-servis.pages.ayarlar.genel-ayarlar","App\Filament\Clusters\TeknikServis\Pages\GenelAyarlar","200","319,26","308,04","330,49","330,49|308,04","111992","http://localhost/yalova-kamera/admin/teknik-servis/ayarlar/genel-ayarlar",
"255","teknik-servis","admin/teknik-servis/ayarlar/cihaz-marka-model-ekleme","filament.admin.teknik-servis.pages.ayarlar.cihaz-marka-model-ekleme","App\Filament\Clusters\TeknikServis\Pages\CihazMarkaModelEkleme","200","316,7","314,07","319,33","319,33|314,07","112081","http://localhost/yalova-kamera/admin/teknik-servis/ayarlar/cihaz-marka-model-ekleme",
"256","teknik-servis","admin/teknik-servis/raporlar/tahsilat-servis","filament.admin.teknik-servis.pages.raporlar.tahsilat-servis","App\Filament\Clusters\TeknikServis\Pages\TeknikServisTahsilatServisRaporuSayfasi","200","315,67","305,83","325,51","325,51|305,83","112230","http://localhost/yalova-kamera/admin/teknik-servis/raporlar/tahsilat-servis",
"257","personel-takip","admin/personel-takip/ozet","filament.admin.personel-takip.pages.ozet","App\Filament\Clusters\PersonelTakip\Pages\PersonelTakipOzetSayfasi","200","312,24","308,75","315,74","308,75|315,74","114928","http://localhost/yalova-kamera/admin/personel-takip/ozet",
"258","muhasebe","admin/muhasebe/finans/finans-panel","filament.admin.muhasebe.pages.finans.finans-panel","App\Filament\Clusters\Muhasebe\Pages\FinansDashboardSayfasi","200","311,93","309,27","314,58","314,58|309,27","121492","http://localhost/yalova-kamera/admin/muhasebe/finans/finans-panel",
"259","teknik-servis","admin/teknik-servis/servis-kayit/servis-ekle","filament.admin.teknik-servis.pages.servis-kayit.servis-ekle","App\Filament\Clusters\TeknikServis\Pages\ServisEkle","200","311,83","309,06","314,6","314,6|309,06","111993","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayit/servis-ekle",
"260","teknik-servis","admin/teknik-servis/operasyon/mesaj-gecmisi","filament.admin.teknik-servis.pages.operasyon.mesaj-gecmisi","App\Filament\Clusters\TeknikServis\Pages\TeknikServisMesajGecmisiSayfasi","200","309,49","309,2","309,79","309,2|309,79","112168","http://localhost/yalova-kamera/admin/teknik-servis/operasyon/mesaj-gecmisi",
"261","teknik-servis","admin/teknik-servis/raporlar/karlilik","filament.admin.teknik-servis.pages.raporlar.karlilik","App\Filament\Clusters\TeknikServis\Pages\TeknikServisKarlilikRaporuSayfasi","200","308,46","306,25","310,67","310,67|306,25","112175","http://localhost/yalova-kamera/admin/teknik-servis/raporlar/karlilik",
